Tweet,Sentimen,Emosi,clean,tokens,filtered,stemmed,final_text
Kopi pagi ini cukup nikmat.Kabar baiknya pemerintah Aceh menyalurkan bantuan pokok utk Masyarakat terdampak Covid-19 dgn kriteria bukan penerima PKH & BPNT.Alhamdulillah ,1.0,2,kopi pagi ini cukup nikmatkabar baiknya pemerintah aceh menyalurkan bantuan pokok utk masyarakat terdampak covid dgn kriteria bukan penerima pkh  bpntalhamdulillah ,"['kopi', 'pagi', 'ini', 'cukup', 'nikmatkabar', 'baiknya', 'pemerintah', 'aceh', 'menyalurkan', 'bantuan', 'pokok', 'utk', 'masyarakat', 'terdampak', 'covid', 'dgn', 'kriteria', 'bukan', 'penerima', 'pkh', 'bpntalhamdulillah']","['kopi', 'pagi', 'nikmatkabar', 'baiknya', 'pemerintah', 'aceh', 'menyalurkan', 'bantuan', 'pokok', 'utk', 'masyarakat', 'terdampak', 'covid', 'dgn', 'kriteria', 'penerima', 'pkh', 'bpntalhamdulillah']","['kopi', 'pagi', 'nikmatkabar', 'baik', 'perintah', 'aceh', 'salur', 'bantu', 'pokok', 'utk', 'masyarakat', 'dampak', 'covid', 'dgn', 'kriteria', 'terima', 'pkh', 'bpntalhamdulillah']",kopi pagi nikmatkabar baik perintah aceh salur bantu pokok utk masyarakat dampak covid dgn kriteria terima pkh bpntalhamdulillah
"Hingga 9 April, Polri Tindak 18 Kasus Penyimpangan Produksi dan Distribusi APD COVID-19",1.0,2,hingga  april polri tindak  kasus penyimpangan produksi dan distribusi apd covid,"['hingga', 'april', 'polri', 'tindak', 'kasus', 'penyimpangan', 'produksi', 'dan', 'distribusi', 'apd', 'covid']","['april', 'polri', 'tindak', 'penyimpangan', 'produksi', 'distribusi', 'apd', 'covid']","['april', 'polri', 'tindak', 'simpang', 'produksi', 'distribusi', 'apd', 'covid']",april polri tindak simpang produksi distribusi apd covid
eh bacot lu lbih parah dari covid.. anjing sia ke bele... pantat korengan.. sok2 blgu,-1.0,-2,eh bacot lu lbih parah dari covid anjing sia ke bele pantat korengan sok blgu,"['eh', 'bacot', 'lu', 'lbih', 'parah', 'dari', 'covid', 'anjing', 'sia', 'ke', 'bele', 'pantat', 'korengan', 'sok', 'blgu']","['eh', 'bacot', 'lu', 'lbih', 'parah', 'covid', 'anjing', 'sia', 'bele', 'pantat', 'korengan', 'sok', 'blgu']","['eh', 'bacot', 'lu', 'lbih', 'parah', 'covid', 'anjing', 'sia', 'bele', 'pantat', 'koreng', 'sok', 'blgu']",eh bacot lu lbih parah covid anjing sia bele pantat koreng sok blgu
Lumpuhnya Peran Negara dalam Menangani Covid-19 - Tegakkan agar terwujud -,0.0,-1,lumpuhnya peran negara dalam menangani covid  tegakkan agar terwujud ,"['lumpuhnya', 'peran', 'negara', 'dalam', 'menangani', 'covid', 'tegakkan', 'agar', 'terwujud']","['lumpuhnya', 'peran', 'negara', 'menangani', 'covid', 'tegakkan', 'terwujud']","['lumpuh', 'peran', 'negara', 'tangan', 'covid', 'tegak', 'wujud']",lumpuh peran negara tangan covid tegak wujud
"my liberty ends where your nose begins"" ... pas banget di era COVID-19 ... dicolek-colek hidungnya di masa normal aja nggak mau, apalagi di masa COVID-19",0.0,-2,my liberty ends where your nose begins  pas banget di era covid  dicolekcolek hidungnya di masa normal aja nggak mau apalagi di masa covid,"['my', 'liberty', 'ends', 'where', 'your', 'nose', 'begins', 'pas', 'banget', 'di', 'era', 'covid', 'dicolekcolek', 'hidungnya', 'di', 'masa', 'normal', 'aja', 'nggak', 'mau', 'apalagi', 'di', 'masa', 'covid']","['my', 'liberty', 'ends', 'where', 'your', 'nose', 'begins', 'pas', 'banget', 'era', 'covid', 'dicolekcolek', 'hidungnya', 'normal', 'aja', 'nggak', 'covid']","['my', 'liberty', 'ends', 'where', 'your', 'nose', 'begins', 'pas', 'banget', 'era', 'covid', 'dicolekcolek', 'hidung', 'normal', 'aja', 'nggak', 'covid']",my liberty ends where your nose begins pas banget era covid dicolekcolek hidung normal aja nggak covid
TERKEJUT!!..kami terkanjat je Warga Indonesia terkejut dgn tindakan pemerintah Malaysia menjaga rakyatnya dgn pemberian pelbagai insentif dsaat pelaksanaan PKP berikutan penularan wabak COVID-19.(Baca komen warga Indonesia di ruang komen Youtube),1.0,1,terkejutkami terkanjat je warga indonesia terkejut dgn tindakan pemerintah malaysia menjaga rakyatnya dgn pemberian pelbagai insentif dsaat pelaksanaan pkp berikutan penularan wabak covidbaca komen warga indonesia di ruang komen youtube,"['terkejutkami', 'terkanjat', 'je', 'warga', 'indonesia', 'terkejut', 'dgn', 'tindakan', 'pemerintah', 'malaysia', 'menjaga', 'rakyatnya', 'dgn', 'pemberian', 'pelbagai', 'insentif', 'dsaat', 'pelaksanaan', 'pkp', 'berikutan', 'penularan', 'wabak', 'covidbaca', 'komen', 'warga', 'indonesia', 'di', 'ruang', 'komen', 'youtube']","['terkejutkami', 'terkanjat', 'je', 'warga', 'indonesia', 'terkejut', 'dgn', 'tindakan', 'pemerintah', 'malaysia', 'menjaga', 'rakyatnya', 'dgn', 'pemberian', 'pelbagai', 'insentif', 'dsaat', 'pelaksanaan', 'pkp', 'berikutan', 'penularan', 'wabak', 'covidbaca', 'komen', 'warga', 'indonesia', 'ruang', 'komen', 'youtube']","['terkejutkami', 'terkanjat', 'je', 'warga', 'indonesia', 'kejut', 'dgn', 'tindak', 'perintah', 'malaysia', 'jaga', 'rakyat', 'dgn', 'beri', 'pelbagai', 'insentif', 'dsaat', 'laksana', 'pkp', 'ikut', 'tular', 'wabak', 'covidbaca', 'komen', 'warga', 'indonesia', 'ruang', 'komen', 'youtube']",terkejutkami terkanjat je warga indonesia kejut dgn tindak perintah malaysia jaga rakyat dgn beri pelbagai insentif dsaat laksana pkp ikut tular wabak covidbaca komen warga indonesia ruang komen youtube
Sugeng ambal Warso...  kita bahgia saat ini adalah covid segera teratasi dan semua bisa melakukan kegiatan seperti biasa...,1.0,2,sugeng ambal warso  kita bahgia saat ini adalah covid segera teratasi dan semua bisa melakukan kegiatan seperti biasa,"['sugeng', 'ambal', 'warso', 'kita', 'bahgia', 'saat', 'ini', 'adalah', 'covid', 'segera', 'teratasi', 'dan', 'semua', 'bisa', 'melakukan', 'kegiatan', 'seperti', 'biasa']","['sugeng', 'ambal', 'warso', 'bahgia', 'covid', 'teratasi', 'kegiatan']","['sugeng', 'ambal', 'warso', 'bahgia', 'covid', 'atas', 'giat']",sugeng ambal warso bahgia covid atas giat
"Tinggal jawab : Covid 18 emak belum lahir Dek, jadi emak gak tau. Emak kan waktu itu masih jadi hawa nafsu.",-1.0,-1,tinggal jawab  covid  emak belum lahir dek jadi emak gak tau emak kan waktu itu masih jadi hawa nafsu,"['tinggal', 'jawab', 'covid', 'emak', 'belum', 'lahir', 'dek', 'jadi', 'emak', 'gak', 'tau', 'emak', 'kan', 'waktu', 'itu', 'masih', 'jadi', 'hawa', 'nafsu']","['tinggal', 'covid', 'emak', 'lahir', 'dek', 'emak', 'gak', 'tau', 'emak', 'hawa', 'nafsu']","['tinggal', 'covid', 'emak', 'lahir', 'dek', 'emak', 'gak', 'tau', 'emak', 'hawa', 'nafsu']",tinggal covid emak lahir dek emak gak tau emak hawa nafsu
"Bakal susah keknya memutus mata rantai COVID-19 di Indonesia. Selain tentang budaya masyarakat yang mayoritas belanja ke pasar tradisional, masih banyak juga yang keluar rumah cuma mau ngereceh.",0.0,-2,bakal susah keknya memutus mata rantai covid di indonesia selain tentang budaya masyarakat yang mayoritas belanja ke pasar tradisional masih banyak juga yang keluar rumah cuma mau ngereceh,"['bakal', 'susah', 'keknya', 'memutus', 'mata', 'rantai', 'covid', 'di', 'indonesia', 'selain', 'tentang', 'budaya', 'masyarakat', 'yang', 'mayoritas', 'belanja', 'ke', 'pasar', 'tradisional', 'masih', 'banyak', 'juga', 'yang', 'keluar', 'rumah', 'cuma', 'mau', 'ngereceh']","['susah', 'keknya', 'memutus', 'mata', 'rantai', 'covid', 'indonesia', 'budaya', 'masyarakat', 'mayoritas', 'belanja', 'pasar', 'tradisional', 'rumah', 'ngereceh']","['susah', 'kek', 'putus', 'mata', 'rantai', 'covid', 'indonesia', 'budaya', 'masyarakat', 'mayoritas', 'belanja', 'pasar', 'tradisional', 'rumah', 'ngereceh']",susah kek putus mata rantai covid indonesia budaya masyarakat mayoritas belanja pasar tradisional rumah ngereceh
"4. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Kerjasama Internasional  Jawab :v1. Pengumpulan data kesakitan dan kematian penduduk. 2. Pemeriksaan klinis, fisik, laboratorium dan penegakan diagnosis",1.0,1, langkah yg dapat di ambil pemerintah dalam mengatasi dampak covid terhadap kerjasama internasional  jawab v pengumpulan data kesakitan dan kematian penduduk  pemeriksaan klinis fisik laboratorium dan penegakan diagnosis,"['langkah', 'yg', 'dapat', 'di', 'ambil', 'pemerintah', 'dalam', 'mengatasi', 'dampak', 'covid', 'terhadap', 'kerjasama', 'internasional', 'jawab', 'v', 'pengumpulan', 'data', 'kesakitan', 'dan', 'kematian', 'penduduk', 'pemeriksaan', 'klinis', 'fisik', 'laboratorium', 'dan', 'penegakan', 'diagnosis']","['langkah', 'yg', 'ambil', 'pemerintah', 'mengatasi', 'dampak', 'covid', 'kerjasama', 'internasional', 'v', 'pengumpulan', 'data', 'kesakitan', 'kematian', 'penduduk', 'pemeriksaan', 'klinis', 'fisik', 'laboratorium', 'penegakan', 'diagnosis']","['langkah', 'yg', 'ambil', 'perintah', 'atas', 'dampak', 'covid', 'kerjasama', 'internasional', 'v', 'kumpul', 'data', 'sakit', 'mati', 'duduk', 'periksa', 'klinis', 'fisik', 'laboratorium', 'tega', 'diagnosis']",langkah yg ambil perintah atas dampak covid kerjasama internasional v kumpul data sakit mati duduk periksa klinis fisik laboratorium tega diagnosis
Kurangkan risiko awda terhadap jangkitan virus COVID-19,1.0,1,kurangkan risiko awda terhadap jangkitan virus covid,"['kurangkan', 'risiko', 'awda', 'terhadap', 'jangkitan', 'virus', 'covid']","['kurangkan', 'risiko', 'awda', 'jangkitan', 'virus', 'covid']","['kurang', 'risiko', 'awda', 'jangkit', 'virus', 'covid']",kurang risiko awda jangkit virus covid
"Ini Tips Ilmuwan Cara Tingkatkan Kekebalan Tubuh, Mari Bersama Kita Lawan Covid-19 Sistem ketahanan tubuh adalah mekanisme yang efektif untuk menjaga tubuh dari serangan penyakit. via",1.0,1,ini tips ilmuwan cara tingkatkan kekebalan tubuh mari bersama kita lawan covid sistem ketahanan tubuh adalah mekanisme yang efektif untuk menjaga tubuh dari serangan penyakit via,"['ini', 'tips', 'ilmuwan', 'cara', 'tingkatkan', 'kekebalan', 'tubuh', 'mari', 'bersama', 'kita', 'lawan', 'covid', 'sistem', 'ketahanan', 'tubuh', 'adalah', 'mekanisme', 'yang', 'efektif', 'untuk', 'menjaga', 'tubuh', 'dari', 'serangan', 'penyakit', 'via']","['tips', 'ilmuwan', 'tingkatkan', 'kekebalan', 'tubuh', 'mari', 'lawan', 'covid', 'sistem', 'ketahanan', 'tubuh', 'mekanisme', 'efektif', 'menjaga', 'tubuh', 'serangan', 'penyakit', 'via']","['tips', 'ilmuwan', 'tingkat', 'kebal', 'tubuh', 'mari', 'lawan', 'covid', 'sistem', 'tahan', 'tubuh', 'mekanisme', 'efektif', 'jaga', 'tubuh', 'serang', 'sakit', 'via']",tips ilmuwan tingkat kebal tubuh mari lawan covid sistem tahan tubuh mekanisme efektif jaga tubuh serang sakit via
"Selamat memperingati Jumat Agung. Selamat memaknai arti pengorbanan-Nya yang sesungguhnya demi cinta kasih. Di masa kini, pengorbanan kita untuk melawan Covid-19 juga pasti berbuah baik, sama seperti datangnya Paskah di kemudian hari.Happy Good Friday!",1.0,-1,selamat memperingati jumat agung selamat memaknai arti pengorbanannya yang sesungguhnya demi cinta kasih di masa kini pengorbanan kita untuk melawan covid juga pasti berbuah baik sama seperti datangnya paskah di kemudian harihappy good friday,"['selamat', 'memperingati', 'jumat', 'agung', 'selamat', 'memaknai', 'arti', 'pengorbanannya', 'yang', 'sesungguhnya', 'demi', 'cinta', 'kasih', 'di', 'masa', 'kini', 'pengorbanan', 'kita', 'untuk', 'melawan', 'covid', 'juga', 'pasti', 'berbuah', 'baik', 'sama', 'seperti', 'datangnya', 'paskah', 'di', 'kemudian', 'harihappy', 'good', 'friday']","['selamat', 'memperingati', 'jumat', 'agung', 'selamat', 'memaknai', 'arti', 'pengorbanannya', 'sesungguhnya', 'cinta', 'kasih', 'pengorbanan', 'melawan', 'covid', 'berbuah', 'datangnya', 'paskah', 'harihappy', 'good', 'friday']","['selamat', 'ingat', 'jumat', 'agung', 'selamat', 'makna', 'arti', 'korban', 'sungguh', 'cinta', 'kasih', 'korban', 'lawan', 'covid', 'buah', 'datang', 'paskah', 'harihappy', 'good', 'friday']",selamat ingat jumat agung selamat makna arti korban sungguh cinta kasih korban lawan covid buah datang paskah harihappy good friday
"Pandemi Covid-19, Mendikbud: Dana BOS Bisa Digunakan Membeli Kuota Internet Siswa",1.0,2,pandemi covid mendikbud dana bos bisa digunakan membeli kuota internet siswa,"['pandemi', 'covid', 'mendikbud', 'dana', 'bos', 'bisa', 'digunakan', 'membeli', 'kuota', 'internet', 'siswa']","['pandemi', 'covid', 'mendikbud', 'dana', 'bos', 'membeli', 'kuota', 'internet', 'siswa']","['pandemi', 'covid', 'mendikbud', 'dana', 'bos', 'beli', 'kuota', 'internet', 'siswa']",pandemi covid mendikbud dana bos beli kuota internet siswa
"Semoga diberikan kesehatan jasmani n rohani, ya dok. Dan semoga kita semua selalu dalam Lindungan ALLAH SWT agar terhindar dari fitnah dajjal. Aamiin Mulut senantiasa selalu berdzikir, insyaALLAH bs mjdi tameng virus covid-19 selain ikhtiar.",1.0,-1,semoga diberikan kesehatan jasmani n rohani ya dok dan semoga kita semua selalu dalam lindungan allah swt agar terhindar dari fitnah dajjal aamiin mulut senantiasa selalu berdzikir insyaallah bs mjdi tameng virus covid selain ikhtiar,"['semoga', 'diberikan', 'kesehatan', 'jasmani', 'n', 'rohani', 'ya', 'dok', 'dan', 'semoga', 'kita', 'semua', 'selalu', 'dalam', 'lindungan', 'allah', 'swt', 'agar', 'terhindar', 'dari', 'fitnah', 'dajjal', 'aamiin', 'mulut', 'senantiasa', 'selalu', 'berdzikir', 'insyaallah', 'bs', 'mjdi', 'tameng', 'virus', 'covid', 'selain', 'ikhtiar']","['semoga', 'kesehatan', 'jasmani', 'n', 'rohani', 'ya', 'dok', 'semoga', 'lindungan', 'allah', 'swt', 'terhindar', 'fitnah', 'dajjal', 'aamiin', 'mulut', 'senantiasa', 'berdzikir', 'insyaallah', 'bs', 'mjdi', 'tameng', 'virus', 'covid', 'ikhtiar']","['moga', 'sehat', 'jasmani', 'n', 'rohani', 'ya', 'dok', 'moga', 'lindung', 'allah', 'swt', 'hindar', 'fitnah', 'dajjal', 'aamiin', 'mulut', 'senantiasa', 'berdzikir', 'insyaallah', 'bs', 'mjdi', 'tameng', 'virus', 'covid', 'ikhtiar']",moga sehat jasmani n rohani ya dok moga lindung allah swt hindar fitnah dajjal aamiin mulut senantiasa berdzikir insyaallah bs mjdi tameng virus covid ikhtiar
"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor??? | Serba-serbi MMC",-1.0,-2, lebih narapidana bebas di tengah wabah covid termasuk koruptor  serbaserbi mmc,"['lebih', 'narapidana', 'bebas', 'di', 'tengah', 'wabah', 'covid', 'termasuk', 'koruptor', 'serbaserbi', 'mmc']","['narapidana', 'bebas', 'wabah', 'covid', 'koruptor', 'serbaserbi', 'mmc']","['narapidana', 'bebas', 'wabah', 'covid', 'koruptor', 'serbaserbi', 'mmc']",narapidana bebas wabah covid koruptor serbaserbi mmc
Semoga segera diberi kesembuhan & jgn coba2 lg menulis corona tentara Allah. Virus tdk mengenal sara. Marilah berdoa spy wabah ini segera berakhir. Amiiin ,1.0,-1,semoga segera diberi kesembuhan  jgn coba lg menulis corona tentara allah virus tdk mengenal sara marilah berdoa spy wabah ini segera berakhir amiiin ,"['semoga', 'segera', 'diberi', 'kesembuhan', 'jgn', 'coba', 'lg', 'menulis', 'corona', 'tentara', 'allah', 'virus', 'tdk', 'mengenal', 'sara', 'marilah', 'berdoa', 'spy', 'wabah', 'ini', 'segera', 'berakhir', 'amiiin']","['semoga', 'kesembuhan', 'jgn', 'coba', 'lg', 'menulis', 'corona', 'tentara', 'allah', 'virus', 'tdk', 'mengenal', 'sara', 'marilah', 'berdoa', 'spy', 'wabah', 'amiiin']","['moga', 'sembuh', 'jgn', 'coba', 'lg', 'tulis', 'corona', 'tentara', 'allah', 'virus', 'tdk', 'kenal', 'sara', 'mari', 'doa', 'spy', 'wabah', 'amiiin']",moga sembuh jgn coba lg tulis corona tentara allah virus tdk kenal sara mari doa spy wabah amiiin
"Kalo emang kehati hatian bisa mencegah corona..mungkin pangeran Charles tidak akan terpapar covid 19, krn hidupnya paling hati2 dan terjaga.",1.0,-1,kalo emang kehati hatian bisa mencegah coronamungkin pangeran charles tidak akan terpapar covid  krn hidupnya paling hati dan terjaga,"['kalo', 'emang', 'kehati', 'hatian', 'bisa', 'mencegah', 'coronamungkin', 'pangeran', 'charles', 'tidak', 'akan', 'terpapar', 'covid', 'krn', 'hidupnya', 'paling', 'hati', 'dan', 'terjaga']","['kalo', 'emang', 'kehati', 'hatian', 'mencegah', 'coronamungkin', 'pangeran', 'charles', 'terpapar', 'covid', 'krn', 'hidupnya', 'hati', 'terjaga']","['kalo', 'emang', 'hati', 'hati', 'cegah', 'coronamungkin', 'pangeran', 'charles', 'papar', 'covid', 'krn', 'hidup', 'hati', 'jaga']",kalo emang hati hati cegah coronamungkin pangeran charles papar covid krn hidup hati jaga
gejala covid,0.0,1,gejala covid,"['gejala', 'covid']","['gejala', 'covid']","['gejala', 'covid']",gejala covid
"Kemarin yakin sekali kedepan akan seperti ini dan itu, taunya wabah covid 19 merubah semuannya. Sekarang doannya samal allah mintannya dirahmati dan dilindungi dimudahkan serta menjadi orang yang beruntung. Jangan sok kuat bro.. kita diatur jangan sok2 mengatur. ",-1.0,-2,kemarin yakin sekali kedepan akan seperti ini dan itu taunya wabah covid  merubah semuannya sekarang doannya samal allah mintannya dirahmati dan dilindungi dimudahkan serta menjadi orang yang beruntung jangan sok kuat bro kita diatur jangan sok mengatur ,"['kemarin', 'yakin', 'sekali', 'kedepan', 'akan', 'seperti', 'ini', 'dan', 'itu', 'taunya', 'wabah', 'covid', 'merubah', 'semuannya', 'sekarang', 'doannya', 'samal', 'allah', 'mintannya', 'dirahmati', 'dan', 'dilindungi', 'dimudahkan', 'serta', 'menjadi', 'orang', 'yang', 'beruntung', 'jangan', 'sok', 'kuat', 'bro', 'kita', 'diatur', 'jangan', 'sok', 'mengatur']","['kemarin', 'kedepan', 'taunya', 'wabah', 'covid', 'merubah', 'semuannya', 'doannya', 'samal', 'allah', 'mintannya', 'dirahmati', 'dilindungi', 'dimudahkan', 'orang', 'beruntung', 'sok', 'kuat', 'bro', 'diatur', 'sok', 'mengatur']","['kemarin', 'depan', 'tau', 'wabah', 'covid', 'rubah', 'semu', 'doannya', 'samal', 'allah', 'mintannya', 'rahmat', 'lindung', 'mudah', 'orang', 'untung', 'sok', 'kuat', 'bro', 'atur', 'sok', 'atur']",kemarin depan tau wabah covid rubah semu doannya samal allah mintannya rahmat lindung mudah orang untung sok kuat bro atur sok atur
covid,0.0,1,covid,['covid'],['covid'],['covid'],covid
Covid i oleh renang ra to,-1.0,1,covid i oleh renang ra to,"['covid', 'i', 'oleh', 'renang', 'ra', 'to']","['covid', 'i', 'renang', 'ra', 'to']","['covid', 'i', 'renang', 'ra', 'to']",covid i renang ra to
Bapak Anies dong...karena beliau dan jajarannya yang dari awal konsisten melawan covid 19.hanya saja di jegal oleh pusat..,1.0,2,bapak anies dongkarena beliau dan jajarannya yang dari awal konsisten melawan covid hanya saja di jegal oleh pusat,"['bapak', 'anies', 'dongkarena', 'beliau', 'dan', 'jajarannya', 'yang', 'dari', 'awal', 'konsisten', 'melawan', 'covid', 'hanya', 'saja', 'di', 'jegal', 'oleh', 'pusat']","['anies', 'dongkarena', 'beliau', 'jajarannya', 'konsisten', 'melawan', 'covid', 'jegal', 'pusat']","['anies', 'dongkarena', 'beliau', 'jajar', 'konsisten', 'lawan', 'covid', 'jegal', 'pusat']",anies dongkarena beliau jajar konsisten lawan covid jegal pusat
"Disebabkan pandemik COVID-19, penjarakan sosial perlu menjadi norma baharu sekurang2nya untuk satu tempoh waktu tertentu. Untuk tahun ini, sekurang2nya perlu ada kawalan, pemantauan atau mungkin batalkan perhimpunan sama ada perhimpunan Ramadan, Aidilfitri atau Haji",1.0,1,disebabkan pandemik covid penjarakan sosial perlu menjadi norma baharu sekurangnya untuk satu tempoh waktu tertentu untuk tahun ini sekurangnya perlu ada kawalan pemantauan atau mungkin batalkan perhimpunan sama ada perhimpunan ramadan aidilfitri atau haji,"['disebabkan', 'pandemik', 'covid', 'penjarakan', 'sosial', 'perlu', 'menjadi', 'norma', 'baharu', 'sekurangnya', 'untuk', 'satu', 'tempoh', 'waktu', 'tertentu', 'untuk', 'tahun', 'ini', 'sekurangnya', 'perlu', 'ada', 'kawalan', 'pemantauan', 'atau', 'mungkin', 'batalkan', 'perhimpunan', 'sama', 'ada', 'perhimpunan', 'ramadan', 'aidilfitri', 'atau', 'haji']","['disebabkan', 'pandemik', 'covid', 'penjarakan', 'sosial', 'norma', 'baharu', 'tempoh', 'kawalan', 'pemantauan', 'batalkan', 'perhimpunan', 'perhimpunan', 'ramadan', 'aidilfitri', 'haji']","['sebab', 'pandemik', 'covid', 'penjara', 'sosial', 'norma', 'baharu', 'tempoh', 'kawal', 'pantau', 'batal', 'himpun', 'himpun', 'ramadan', 'aidilfitri', 'haji']",sebab pandemik covid penjara sosial norma baharu tempoh kawal pantau batal himpun himpun ramadan aidilfitri haji
San Bernardino County: COVID-19 Data:,0.0,1,san bernardino county covid data,"['san', 'bernardino', 'county', 'covid', 'data']","['san', 'bernardino', 'county', 'covid', 'data']","['san', 'bernardino', 'county', 'covid', 'data']",san bernardino county covid data
DPR RI Bentuk Timwas Covid-19,1.0,1,dpr ri bentuk timwas covid,"['dpr', 'ri', 'bentuk', 'timwas', 'covid']","['dpr', 'ri', 'bentuk', 'timwas', 'covid']","['dpr', 'ri', 'bentuk', 'timwas', 'covid']",dpr ri bentuk timwas covid
Emang serba salah mas. Nggak konpers juga nnti dikira nggak ada transparansi dalam menanggulangi pandemi covid-19 ini.,0.0,-2,emang serba salah mas nggak konpers juga nnti dikira nggak ada transparansi dalam menanggulangi pandemi covid ini,"['emang', 'serba', 'salah', 'mas', 'nggak', 'konpers', 'juga', 'nnti', 'dikira', 'nggak', 'ada', 'transparansi', 'dalam', 'menanggulangi', 'pandemi', 'covid', 'ini']","['emang', 'serba', 'salah', 'mas', 'nggak', 'konpers', 'nnti', 'nggak', 'transparansi', 'menanggulangi', 'pandemi', 'covid']","['emang', 'serba', 'salah', 'mas', 'nggak', 'konpers', 'nnti', 'nggak', 'transparansi', 'tanggulang', 'pandemi', 'covid']",emang serba salah mas nggak konpers nnti nggak transparansi tanggulang pandemi covid
Begini Penjelasan Muhaimin Terkait Timwas Covid-19 DPR RI,,1,begini penjelasan muhaimin terkait timwas covid dpr ri,"['begini', 'penjelasan', 'muhaimin', 'terkait', 'timwas', 'covid', 'dpr', 'ri']","['penjelasan', 'muhaimin', 'terkait', 'timwas', 'covid', 'dpr', 'ri']","['jelas', 'muhaimin', 'kait', 'timwas', 'covid', 'dpr', 'ri']",jelas muhaimin kait timwas covid dpr ri
Sehat selalu ya ustadz...semoga Allah SWT selalu melindungi Anda dan keluarga.Begitulah faktanya ustadz.....dana pendidikan di pakai buat penanganan covid 19...jelas2 dana gak ada tp sok2 masih mau pindah ibu kota.....mirissss,-1.0,-1,sehat selalu ya ustadzsemoga allah swt selalu melindungi anda dan keluargabegitulah faktanya ustadzdana pendidikan di pakai buat penanganan covid jelas dana gak ada tp sok masih mau pindah ibu kotamirissss,"['sehat', 'selalu', 'ya', 'ustadzsemoga', 'allah', 'swt', 'selalu', 'melindungi', 'anda', 'dan', 'keluargabegitulah', 'faktanya', 'ustadzdana', 'pendidikan', 'di', 'pakai', 'buat', 'penanganan', 'covid', 'jelas', 'dana', 'gak', 'ada', 'tp', 'sok', 'masih', 'mau', 'pindah', 'ibu', 'kotamirissss']","['sehat', 'ya', 'ustadzsemoga', 'allah', 'swt', 'melindungi', 'keluargabegitulah', 'faktanya', 'ustadzdana', 'pendidikan', 'pakai', 'penanganan', 'covid', 'dana', 'gak', 'tp', 'sok', 'pindah', 'kotamirissss']","['sehat', 'ya', 'ustadzsemoga', 'allah', 'swt', 'lindung', 'keluargabegitulah', 'fakta', 'ustadzdana', 'didik', 'pakai', 'tangan', 'covid', 'dana', 'gak', 'tp', 'sok', 'pindah', 'kotamirissss']",sehat ya ustadzsemoga allah swt lindung keluargabegitulah fakta ustadzdana didik pakai tangan covid dana gak tp sok pindah kotamirissss
BAZNAS Buka Donasi Covid-19 Lewat Smart Shadaqah BNI Syariah -,1.0,2,baznas buka donasi covid lewat smart shadaqah bni syariah ,"['baznas', 'buka', 'donasi', 'covid', 'lewat', 'smart', 'shadaqah', 'bni', 'syariah']","['baznas', 'buka', 'donasi', 'covid', 'smart', 'shadaqah', 'bni', 'syariah']","['baznas', 'buka', 'donasi', 'covid', 'smart', 'shadaqah', 'bni', 'syariah']",baznas buka donasi covid smart shadaqah bni syariah
Lagi bayangin IJAZAH gw bsk ada lambang COVID-19 nya,0.0,2,lagi bayangin ijazah gw bsk ada lambang covid nya,"['lagi', 'bayangin', 'ijazah', 'gw', 'bsk', 'ada', 'lambang', 'covid', 'nya']","['bayangin', 'ijazah', 'gw', 'bsk', 'lambang', 'covid', 'nya']","['bayangin', 'ijazah', 'gw', 'bsk', 'lambang', 'covid', 'nya']",bayangin ijazah gw bsk lambang covid nya
"Mangtanku besok akad, ciyee menikah ditengah pandemi covid-19 ciyee",-1.0,2,mangtanku besok akad ciyee menikah ditengah pandemi covid ciyee,"['mangtanku', 'besok', 'akad', 'ciyee', 'menikah', 'ditengah', 'pandemi', 'covid', 'ciyee']","['mangtanku', 'besok', 'akad', 'ciyee', 'menikah', 'ditengah', 'pandemi', 'covid', 'ciyee']","['mangtanku', 'besok', 'akad', 'ciyee', 'meni', 'tengah', 'pandemi', 'covid', 'ciyee']",mangtanku besok akad ciyee meni tengah pandemi covid ciyee
